RID-SubID,Node,Permutation,charPath,Clust,Degree,Small Worldness,Norm Char Path,Norm Clust
508,1500,5,2.079569491,0.571734288,209.8146667,2.688671094,1.520239372,4.087423656
508,2000,1,2.157549275,0.565455412,231.704,3.157654709,1.54571774,4.8808429
508,2000,2,2.157926963,0.567580649,222.549,3.323937222,1.53454319,5.100725227
508,2000,3,2.166207104,0.56688351,222.737,3.303857163,1.540672005,5.090160238
508,2000,4,2.156970485,0.559767318,228.378,3.180711295,1.541200062,4.902112447
508,2000,5,2.151665333,0.567322554,222.006,3.341754661,1.529398889,5.110875867
508,2500,1,2.234442257,0.557696779,241.5672,3.683119323,1.567055544,5.771652555
508,2500,2,2.246767507,0.554793601,238.6352,3.696844295,1.572192744,5.812151776
508,2500,3,2.227405202,0.555225981,238.9192,3.72664065,1.558982428,5.809767288
508,2500,4,2.220607923,0.558204702,241.4616,3.711358386,1.557229174,5.779435554
508,2500,5,2.226455382,0.556537064,241.0016,3.698882161,1.560787145,5.773167727
508,3000,1,2.297223741,0.550208521,251.826,4.131941739,1.586330997,6.55462726
508,3000,2,2.28105324,0.547694327,247.288,4.232152636,1.56998366,6.644410485
508,3000,3,2.285819273,0.543116117,248.9473333,4.15506783,1.575173327,6.544952018
508,3000,4,2.282312771,0.550317959,250.5573333,4.184649271,1.5745946,6.589126146
508,3000,5,2.299069023,0.550316818,247.9193333,4.206404367,1.583115589,6.659224325
508,4000,1,2.427823331,0.540010118,266.316,4.961529845,1.63474125,8.1108175
508,4000,2,2.390749312,0.544045872,255.3325,5.334713275,1.597637813,8.522939651
508,4000,3,2.395589522,0.541466616,259.3975,5.200837892,1.605434434,8.349604239
508,4000,4,2.402421605,0.539328052,260.9325,5.129732041,1.611722046,8.267702219
508,4000,5,2.393632658,0.541252481,264.942,5.074836757,1.610226628,8.171637281
508,5000,1,2.501514943,0.532133562,278.0852,5.788388589,1.652932431,9.56781522
508,5000,2,2.472153791,0.531455864,276.434,5.890851542,1.631802791,9.61270799
508,5000,3,2.46340188,0.532371814,282.0632,5.783046467,1.631856434,9.437101585
508,5000,4,2.486637327,0.536622576,274.7532,5.956113127,1.639582397,9.765538235
508,5000,5,2.474286457,0.536889819,273.6672,6.016834033,1.630288224,9.809173672
278,10,1,1,1,9,1.164390708,0.954242509,1.111111111
278,10,2,1.088888889,0.944444444,8.2,1.157500695,0.99504175,1.151761518
278,10,3,1,1,9,1.164390708,0.954242509,1.111111111
278,10,4,1,1,9,1.164390708,0.954242509,1.111111111
278,10,5,1,1,9,1.164390708,0.954242509,1.111111111
278,100,1,1.336565657,0.820454295,66.1,1.020406398,1.216409379,1.241231913
278,100,2,1.347878788,0.803643621,64.72,1.017364233,1.220530195,1.241723765
278,100,3,1.312929293,0.807734327,68.18,0.984197144,1.203730992,1.184708605
278,100,4,1.343636364,0.806162793,65.16,1.015212998,1.218665468,1.237205023
278,100,5,1.316363636,0.817344648,67.76,1.000930471,1.2051134,1.206234722
278,150,1,1.449127517,0.767078351,83.72,1.073325763,1.28047237,1.374363983
278,150,2,1.42541387,0.772377869,86.57333333,1.05452608,1.269052579,1.338249041
278,150,3,1.407516779,0.782660187,88.89333333,1.047698069,1.260547358,1.320673032
278,150,4,1.399463087,0.781787946,90,1.036752092,1.25679024,1.30297991
